AGW16411.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW83452.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW83450.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW16407.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW16412.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW83451.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW83446.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW83449.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW16413.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AEV91552.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase;carbapenem-hydrolyzing class D beta-lactamase
AGZ83153.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW16408.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGZ83154.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869612.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW16409.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW83447.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869615.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869632.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
ENV93423.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW16404.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW16405.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW16414.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW83448.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW16406.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
ENU09033.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW16410.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGZ83155.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_133973918.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_240067730.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_150823475.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
ENX45276.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
ENV02983.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_136512096.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869627.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869630.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AIZ00987.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_086264536.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869617.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
ENW12288.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_122630923.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_081174195.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869626.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_085562417.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_086398931.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
ENW16915.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869613.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_136512095.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_078225401.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869625.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_014206564.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_231869611.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AIU44173.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864114.1 	 OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
